Series ID,Material,June-2025,July 2024,Feb-2020,1Y Rolling Avg,2Y Rolling Avg,3Y Rolling Avg
CUUR0000SA0,Consumer Price Index (CPI-U),0.1509791946329608,2.7049023971513986,24.88421899040506,0.2228316481183545,0.2306491227356969,0.2409184957401839
WPUFD4,Producer Price Index (PPI For Final Demand,0.8604521407108212,3.2871186253992546,26.72212837837836,0.2704717447956066,0.2342028309367846,0.1876156233395984
WPUFD43,Final Demand Construction,0.6250210965716763,1.075372113787143,37.906707787201256,0.0896783580915355,0.1006566043101124,0.1750887249253908
WPUFD431,Construction for Private Capital Investment,0.6492467744515507,0.9499466104554876,40.46497305619707,0.0793430719952137,0.0859767356525413,0.1657256809301797
WPUFD432,Construction for Government ,0.5690008345345499,1.356891207556732,33.27764887857694,0.1128853661046156,0.1339557599177759,0.1968706862692031
WPU80,Construction (Partial),0.5724838411818922,1.386036344419228,35.38572574178026,0.1152716406014914,0.1248494486131869,0.1863286941646295
WPU801,New Nonresidential Building Construction,0.6424031563029509,0.969013249074635,38.95761381475668,0.080912193502262,0.092513710080277,0.1719599239314781
WPU801101,New Warehouse Building Construction,0.9880710071367816,0.5971349499322098,44.4588452088452,0.0500973293514376,0.0327727421032713,0.0612575039723062
WPU801102,New School Building Construction,0.7039671802033798,1.1041831892490972,33.06978085351787,0.0920318753902971,0.1216657147012342,0.1869542197218928
WPU801103,New Office Building Construction,0.3268222239112273,1.0487636836867376,45.15463917525772,0.0875159717549913,0.1417915643133783,0.2565330284863054
WPU801104,New Industrial Building Construction,1.0126790290195142,1.7531063451172724,42.1264450867052,0.1458182418324692,0.1101087460939592,0.1509984247773167
WPU801105,New Health Care Building Construction,0.483826201049653,0.5739143611177777,33.861344537815114,0.0505726725462886,0.0285883112211611,0.1417473844342484
PCU23811X23811X,Concrete Contractors,2.331589166419845,4.083613663369667,35.59084302325582,0.3362565412314731,0.3139535910574804,0.1769006471557384
PCU23816X23816X,Roofing Contractors,1.3197313453504833,4.550824044965229,57.34336917562723,0.3733144122110112,0.270835484676267,0.4936541770621549
PCU23821X23821X,Electrical Contractors,-0.1169747194934567,0.4688871977989839,31.821044546851013,0.0390826544724138,0.1053238570143541,0.207782796252561
PCU23822X23822X,Plumbing Contractors ,0.2743027213717441,1.45793069351432,30.01223902087832,0.1235221316802176,0.1151523954149663,0.2513391403502913
WPUIP231200,New Nonresedential Construction ,0.4702875565155917,2.6210826210826044,41.57769652650822,0.217006264152759,0.1494156947153338,0.0346997113294392
WPU4531,Architectural Services,0.0102895655230916,0.9529662263922268,9.516431924882635,0.0791639597613543,0.1269690048154271,0.1291316730451134
WPU4532,Engineering Services,0.0398272753951323,2.886646833096207,17.936573311367386,0.2381313000117272,0.2181661908293266,0.2475878333602805
WPU3012,Truck Transportation of Freight,0.97846451245589,-0.6422741455343606,21.44187898089173,-0.0469161155479856,0.0980655719641579,-0.3160677135378076
WPU057303,#2 Diesel Fuel,11.071738400402984,-7.1670608735312165,64.26435592343508,-0.39733690075228,0.4790988078217723,-1.0331770678548091
WPU1394,Paving Mixtures,0.181520607052521,0.3121159074825907,20.02139037433155,0.1202919620518874,0.2574987471893405,0.1421550193185761
WPU1322,Cement,-0.1363447415823837,1.722483176008316,40.326323987538935,0.1430854340257007,0.3131967690604527,0.5210215248739041
WPU133,Concrete Products,-0.1654634503966079,2.088702162108702,41.43021997836277,0.1732036898099513,0.2840258019391445,0.4461637052553244
WPU1332,Concrete Pipe,-0.2790000556987526,7.59367462392202,63.09730848861284,0.6253791616192679,0.4918613275496785,0.6556602771537646
WPU1342,Brick and Structural Clay Tile,0.0312254889205387,1.2602259300234175,32.62444553967473,0.1046813764086607,0.2494803322104786,0.372316581360246
WPU0721,Plastic Construction Products,-0.2646394398514551,-1.715386318868961,47.357361293141096,-0.1434644581713801,-0.0796917275575112,-0.1876920098573443
WPU1311,Flatt Glass,3.0787328114225465,2.7744075062686946,27.88209920920201,0.23349308225064,0.1696817991872846,0.2731508119027994
WPU13710102,Gypsum Building MAterials,-0.0415586955458957,0.3309822867222589,52.19230769230767,0.0288054150955415,0.1907844367777134,0.1994077689269436
WPUSI004011,Lumber and Plywood,-0.8111382861758609,5.079810309376365,25.28719886632027,0.4236651823477848,-0.1081271231922137,-0.507888927940476
WPU062101,Architectural Coatings,0.0,0.8054781937975708,48.01585014409222,0.0670755748367159,0.0348121458646705,0.0955960636560408
WPU1017,Steel Mill Products,-0.4822429302798969,8.835352714684387,64.4087513340448,0.7912423798484837,-0.2022982180868553,-0.6735046195513353
WPU102502,Copper and Brass Mill Shapes,5.700273608112849,6.851926450110857,78.05021141649048,0.5857472318477569,0.7140660016161732,0.5838337211739387
WPU102501,Aluminum Mill Shapes,7.431202317231489,13.664954938233407,46.66045769026076,1.1127463328454887,0.7504489817127725,0.2844279971147902
WPU1073,Sheet Metal Products,0.0360077252937962,4.499743537933076,54.414331649058354,0.3692041461687917,0.2277780017636158,0.1503641558767368
WPU107408,Ornamental and Architectural Metal Work,0.0,9.2026187855198,104.13291762389238,0.7563653702824719,0.74845477431746,0.4455043489353429
WPU1076,Fabricated Steel Plate,0.5946946000985109,14.251117903692489,72.47329986307624,1.1727844129420608,0.5863922064710304,0.353178078541686
WPU1079,Prefabricated Metal Buildings,-0.9234002033306156,0.5747001130140594,62.13737551259521,0.05046664745983,0.0199516842493538,0.0912700165452442
WPU058102,Asphalt (At Refinery),-1.9284899046721593,-13.651351080721518,22.877862595419852,-0.9828528462344018,-0.2662968966699998,-1.1051735190356025
