series_id,year,month,value,mom_growth,yoy_growth,series_name
WPU801,2009,M06,100.0,,,New Nonresidential Building Construction
WPU801,2009,M07,98.1,-0.019,,New Nonresidential Building Construction
WPU801,2009,M08,97.9,-0.002039,,New Nonresidential Building Construction
WPU801,2009,M09,97.6,-0.003064,,New Nonresidential Building Construction
WPU801,2009,M10,97.8,0.002049,,New Nonresidential Building Construction
WPU801,2009,M11,97.7,-0.001022,,New Nonresidential Building Construction
WPU801,2009,M12,97.6,-0.001024,,New Nonresidential Building Construction
WPU801,2010,M01,97.8,0.002049,,New Nonresidential Building Construction
WPU801,2010,M02,97.8,0.0,,New Nonresidential Building Construction
WPU801,2010,M03,97.6,-0.002045,,New Nonresidential Building Construction
WPU801,2010,M04,97.9,0.003074,,New Nonresidential Building Construction
WPU801,2010,M05,97.9,0.0,,New Nonresidential Building Construction
WPU801,2010,M06,97.8,-0.001021,-0.022,New Nonresidential Building Construction
WPU801,2010,M07,97.9,0.001022,-0.002039,New Nonresidential Building Construction
WPU801,2010,M08,97.8,-0.001021,-0.001021,New Nonresidential Building Construction
WPU801,2010,M09,97.8,0.0,0.002049,New Nonresidential Building Construction
WPU801,2010,M10,98.2,0.00409,0.00409,New Nonresidential Building Construction
WPU801,2010,M11,98.1,-0.001018,0.004094,New Nonresidential Building Construction
WPU801,2010,M12,98.1,0.0,0.005123,New Nonresidential Building Construction
WPU801,2011,M01,98.6,0.005097,0.00818,New Nonresidential Building Construction
WPU801,2011,M02,98.5,-0.001014,0.007157,New Nonresidential Building Construction
WPU801,2011,M03,98.6,0.001015,0.010246,New Nonresidential Building Construction
WPU801,2011,M04,99.4,0.008114,0.015322,New Nonresidential Building Construction
WPU801,2011,M05,99.4,0.0,0.015322,New Nonresidential Building Construction
WPU801,2011,M06,99.4,0.0,0.01636,New Nonresidential Building Construction
WPU801,2011,M07,100.5,0.011066,0.026558,New Nonresidential Building Construction
WPU801,2011,M08,100.6,0.000995,0.02863,New Nonresidential Building Construction
WPU801,2011,M09,100.5,-0.000994,0.027607,New Nonresidential Building Construction
WPU801,2011,M10,102.0,0.014925,0.038697,New Nonresidential Building Construction
WPU801,2011,M11,102.1,0.00098,0.040775,New Nonresidential Building Construction
WPU801,2011,M12,102.0,-0.000979,0.039755,New Nonresidential Building Construction
WPU801,2012,M01,102.7,0.006863,0.041582,New Nonresidential Building Construction
WPU801,2012,M02,102.7,0.0,0.04264,New Nonresidential Building Construction
